Rank,L,PA/G,PS/G,SRS,Team,W,W/L%,year
1,15,92.3,100.8,8.41,Los Angeles Lakers,67,0.817,2000
2,23,91,97.5,6.36,Portland Trail Blazers,59,0.72,2000
3,26,96.7,101.3,4.15,Indiana Pacers,56,0.683,2000
4,27,92,96.5,4.52,Utah Jazz,55,0.671,2000
5,29,93.7,98.9,5.24,Phoenix Suns,53,0.646,2000
6,29,90.2,96.2,5.92,San Antonio Spurs,53,0.646,2000
7,30,91.3,94.4,2.75,Miami Heat,52,0.634,2000
8,32,90.7,92.1,1.3,New York Knicks,50,0.61,2000
9,32,96,98.5,2.67,Minnesota Timberwolves,50,0.61,2000
10,33,93.4,94.8,1.02,Philadelphia 76ers,49,0.598,2000
11,33,95.8,98.4,2.33,Charlotte Hornets,49,0.598,2000
12,37,98.1,99.1,1.17,Seattle SuperSonics,45,0.549,2000
13,37,97.3,97.2,-0.46,Toronto Raptors,45,0.549,2000
14,38,102,105,3.04,Sacramento Kings,44,0.537,2000
15,40,101,101.2,-0.06,Milwaukee Bucks,42,0.512,2000
16,40,102,103.5,1.13,Detroit Pistons,42,0.512,2000
17,41,99.4,100.1,0.43,Orlando Magic,41,0.5,2000
18,42,102,101.4,-0.29,Dallas Mavericks,40,0.488,2000
19,47,101.1,99,-1.76,Denver Nuggets,35,0.427,2000
20,47,100.1,99.3,-1,Boston Celtics,35,0.427,2000
21,48,100.3,99.5,-0.57,Houston Rockets,34,0.415,2000
22,50,100.5,97,-3.64,Cleveland Cavaliers,32,0.39,2000
23,51,99,98,-1.18,New Jersey Nets,31,0.378,2000
24,53,99.9,96.6,-3.47,Washington Wizards,29,0.354,2000
25,54,99.7,94.3,-5.41,Atlanta Hawks,28,0.341,2000
26,60,99.5,93.9,-5.1,Vancouver Grizzlies,22,0.268,2000
27,63,103.8,95.5,-7.63,Golden State Warriors,19,0.232,2000
28,65,94.2,84.8,-9.23,Chicago Bulls,17,0.207,2000
29,67,103.5,92,-10.73,Los Angeles Clippers,15,0.183,2000
1,24,88.4,96.2,7.92,San Antonio Spurs,58,0.707,2001
2,26,97.2,100.6,3.74,Los Angeles Lakers,56,0.683,2001
3,26,90.4,94.7,3.64,Philadelphia 76ers,56,0.683,2001
4,27,95.9,101.7,6.07,Sacramento Kings,55,0.671,2001
5,29,92.4,97.1,5,Utah Jazz,53,0.646,2001
6,29,96.2,100.5,4.61,Dallas Mavericks,53,0.646,2001
7,30,96.9,100.7,3.14,Milwaukee Bucks,52,0.634,2001
8,31,91.8,94,2.63,Phoenix Suns,51,0.622,2001
9,32,91.2,95.4,4.52,Portland Trail Blazers,50,0.61,2001
10,32,86.6,88.9,1.73,Miami Heat,50,0.61,2001
11,34,86.1,88.7,1.98,New York Knicks,48,0.585,2001
12,35,95.4,97.6,1.69,Toronto Raptors,47,0.573,2001
13,35,96,97.3,1.81,Minnesota Timberwolves,47,0.573,2001
14,36,89.8,91.9,1.45,Charlotte Hornets,46,0.561,2001
15,37,94.9,97.2,2.71,Houston Rockets,45,0.549,2001
16,38,97.3,97.3,0.55,Seattle SuperSonics,44,0.537,2001
17,39,96.5,97.5,0.39,Orlando Magic,43,0.524,2001
18,41,92.8,92.6,-0.77,Indiana Pacers,41,0.5,2001
19,42,99,96.6,-1.83,Denver Nuggets,40,0.488,2001
20,46,96.8,94.6,-2.4,Boston Celtics,36,0.439,2001
21,50,97.3,95.6,-2.08,Detroit Pistons,32,0.39,2001
22,51,95.3,92.5,-2.23,Los Angeles Clippers,31,0.378,2001
23,52,96.5,92.2,-4.48,Cleveland Cavaliers,30,0.366,2001
24,56,97.1,92.1,-5.3,New Jersey Nets,26,0.317,2001
25,57,96.2,91,-5.55,Atlanta Hawks,25,0.305,2001
26,59,97.5,91.7,-4.94,Vancouver Grizzlies,23,0.28,2001
27,63,99.9,93.2,-6.75,Washington Wizards,19,0.232,2001
28,65,101.5,92.5,-8.11,Golden State Warriors,17,0.207,2001
29,67,96.7,87.6,-9.09,Chicago Bulls,15,0.183,2001
1,21,97,104.6,7.61,Sacramento Kings,61,0.744,2002
2,24,90.5,96.7,6.28,San Antonio Spurs,58,0.707,2002
3,24,94.1,101.3,7.15,Los Angeles Lakers,58,0.707,2002
4,25,101,105.2,4.41,Dallas Mavericks,57,0.695,2002
5,30,92,96.2,3.67,New Jersey Nets,52,0.634,2002
6,32,96,99.3,3.58,Minnesota Timberwolves,50,0.61,2002
7,32,92.2,94.3,1.69,Detroit Pistons,50,0.61,2002
8,33,93.7,96.6,3.21,Portland Trail Blazers,49,0.598,2002
9,33,94.1,96.4,1.75,Boston Celtics,49,0.598,2002
10,37,94.7,97.7,3.24,Seattle SuperSonics,45,0.549,2002
11,38,95.1,96,1.21,Utah Jazz,44,0.537,2002
12,38,98.9,100.5,1.25,Orlando Magic,44,0.537,2002
13,38,92.9,93.9,0.57,Charlotte Hornets,44,0.537,2002
14,39,89.4,91,1.27,Philadelphia 76ers,43,0.524,2002
15,40,91.8,91.4,-0.71,Toronto Raptors,42,0.512,2002
