G,Date,Age,Tm,Opp,Result,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,10/21/2018,29-343,OKC,SAC,L ,-11,1,35:09:00,13,23,0.565,1,6,0.167,5,11,0.455,2,10,12,8,0,0,5,2,32,22.9,-13
2,10/25/2018,29-347,OKC,BOS,L ,-6,1,32:22:00,5,20,0.25,0,5,0,3,5,0.6,1,14,15,8,0,0,5,5,13,3.7,-5
3,10/28/2018,29-350,OKC,PHO,W ,7,1,30:52:00,8,13,0.615,0,0,,7,10,0.7,1,8,9,7,4,0,6,3,23,20.7,8
4,10/30/2018,29-352,OKC,LAC,W ,18,1,33:30:00,13,25,0.52,1,3,0.333,5,7,0.714,2,2,4,8,3,1,3,4,32,25.6,18
5,11/1/2018,29-354,OKC,CHO,W ,4,1,37:08:00,12,24,0.5,0,3,0,5,7,0.714,1,7,8,10,3,0,3,3,29,24.8,3
6,11/2/2018,29-355,OKC,WAS,W ,23,1,26:00:00,10,16,0.625,0,1,0,3,4,0.75,0,3,3,12,4,0,1,1,23,27.3,10
7,11/5/2018,29-358,OKC,NOP,W ,6,1,25:11:00,6,16,0.375,0,2,0,5,8,0.625,0,7,7,9,1,0,6,3,17,9.2,11
8,11/19/2018,30-007,OKC,SAC,L ,-4,1,36:34:00,12,25,0.48,4,10,0.4,1,2,0.5,2,11,13,7,3,0,4,5,29,22.5,4
9,11/21/2018,30-009,OKC,GSW,W ,28,1,32:53:00,5,15,0.333,1,5,0.2,0,2,0,0,11,11,13,2,1,4,4,11,11.2,25
10,11/23/2018,30-011,OKC,CHO,W ,5,1,34:42:00,10,18,0.556,1,4,0.25,9,11,0.818,0,12,12,8,2,0,4,3,30,26.6,17
11,11/24/2018,30-012,OKC,DEN,L ,-7,1,39:29:00,6,23,0.261,1,12,0.083,3,7,0.429,3,7,10,12,1,0,4,5,16,8.3,-3
12,11/28/2018,30-016,OKC,CLE,W ,17,1,37:15:00,10,17,0.588,2,5,0.4,1,2,0.5,1,17,18,15,2,0,3,3,23,28.8,12
13,11/30/2018,30-018,OKC,ATL,W ,15,1,30:44:00,8,15,0.533,2,4,0.5,5,6,0.833,1,8,9,10,1,0,5,4,23,19.8,18
14,12/3/2018,30-021,OKC,DET,W ,27,1,28:59:00,7,17,0.412,2,7,0.286,2,3,0.667,1,5,6,6,2,0,5,2,18,11.1,24
15,12/5/2018,30-023,OKC,BRK,W ,2,1,39:41:00,9,23,0.391,2,9,0.222,1,2,0.5,2,13,15,17,1,0,2,5,21,22.3,10
16,12/7/2018,30-025,OKC,CHI,L ,-2,1,35:03:00,9,21,0.429,2,6,0.333,4,7,0.571,2,15,17,13,4,0,10,5,24,18.7,10
17,12/10/2018,30-028,OKC,UTA,W ,9,1,35:57:00,4,18,0.222,0,5,0,4,8,0.5,3,8,11,10,1,0,4,3,12,6.7,15
18,12/12/2018,30-030,OKC,NOP,L ,-4,1,38:14:00,8,16,0.5,2,7,0.286,2,5,0.4,1,5,6,7,4,2,7,2,20,15.5,0
19,12/14/2018,30-032,OKC,DEN,L ,-11,1,36:15:00,5,15,0.333,1,3,0.333,2,2,1,1,13,14,8,4,1,4,3,13,14.2,-9
20,12/15/2018,30-033,OKC,LAC,W ,6,1,36:00:00,4,17,0.235,3,4,0.75,2,3,0.667,2,7,9,12,6,0,4,3,13,15,0
21,12/17/2018,30-035,OKC,CHI,W ,25,1,31:32:00,5,13,0.385,0,0,,3,4,0.75,4,12,16,11,5,0,4,3,13,19.4,25
22,12/19/2018,30-037,OKC,SAC,W ,19,1,34:39:00,8,19,0.421,1,5,0.2,2,7,0.286,2,9,11,17,6,0,5,4,19,22.3,8
23,12/22/2018,30-040,OKC,UTA,W ,1,1,34:56:00,3,17,0.176,0,4,0,2,2,1,0,12,12,9,3,0,6,6,8,1.8,-12
24,12/23/2018,30-041,OKC,MIN,L ,-2,1,35:50:00,10,19,0.526,1,1,1,2,4,0.5,1,10,11,10,1,0,4,6,23,18.2,7
25,12/25/2018,30-043,OKC,HOU,L ,-4,1,37:55:00,6,20,0.3,2,6,0.333,7,10,0.7,3,6,9,9,4,1,6,3,21,15.9,6
26,12/28/2018,30-046,OKC,PHO,W ,16,1,39:02:00,17,29,0.586,3,7,0.429,3,6,0.5,2,10,12,8,0,0,6,3,40,28.1,6
27,12/30/2018,30-048,OKC,DAL,L ,-2,1,37:35:00,4,22,0.182,0,8,0,1,2,0.5,0,9,9,8,6,0,5,2,9,3.3,-4
28,12/31/2018,30-049,OKC,DAL,W ,20,1,34:31:00,13,24,0.542,0,1,0,6,6,1,0,11,11,11,4,0,5,4,32,28.8,22
29,1/2/2019,30-051,OKC,LAL,W ,7,1,35:59:00,3,20,0.15,1,7,0.143,7,10,0.7,1,15,16,10,2,2,4,4,14,10,1
30,1/4/2019,30-053,OKC,POR,W ,2,1,37:09:00,13,28,0.464,0,2,0,5,6,0.833,0,9,9,7,1,0,3,3,31,20.6,7
31,1/6/2019,30-055,OKC,WAS,L ,-18,1,37:10:00,9,23,0.391,2,5,0.4,2,6,0.333,2,13,15,13,0,1,8,2,22,14.2,-7
32,1/8/2019,30-057,OKC,MIN,L ,-2,1,38:38:00,11,22,0.5,1,6,0.167,2,2,1,1,4,5,16,1,2,7,2,25,21.7,7
33,1/10/2019,30-059,OKC,SAS,L ,-7,1,49:35:00,11,22,0.5,0,4,0,2,5,0.4,2,11,13,24,2,0,3,4,24,30.7,-5
34,1/12/2019,30-061,OKC,SAS,W ,10,1,32:44:00,9,24,0.375,1,2,0.5,5,5,1,2,8,10,7,2,0,4,4,24,15.9,7
35,1/15/2019,30-064,OKC,ATL,L ,-16,1,35:30:00,10,21,0.476,0,3,0,11,14,0.786,2,4,6,11,5,0,2,2,31,31.6,1
36,1/17/2019,30-066,OKC,LAL,L ,-10,1,43:21:00,7,30,0.233,5,12,0.417,7,10,0.7,2,7,9,13,1,1,3,5,26,15.9,5
37,1/19/2019,30-068,OKC,PHI,W ,2,1,36:52:00,8,21,0.381,1,6,0.167,4,7,0.571,3,7,10,6,1,0,4,6,21,11.3,7
38,1/21/2019,30-070,OKC,NYK,W ,18,1,28:44:00,6,12,0.5,1,2,0.5,4,5,0.8,3,7,10,9,0,0,3,3,17,16.9,22
39,1/22/2019,30-071,OKC,POR,W ,9,1,36:43:00,9,20,0.45,1,4,0.25,10,12,0.833,2,8,10,14,1,0,5,4,29,25.8,5
40,1/24/2019,30-073,OKC,NOP,W ,6,1,36:41:00,9,19,0.474,1,3,0.333,4,8,0.5,1,16,17,16,2,0,4,3,23,25.2,14
41,1/27/2019,30-076,OKC,MIL,W ,6,1,36:05:00,5,20,0.25,2,5,0.4,1,2,0.5,1,12,13,11,1,1,4,3,13,9.1,-11
42,1/29/2019,30-078,OKC,ORL,W ,9,1,38:21:00,7,12,0.583,1,2,0.5,8,12,0.667,1,13,14,14,0,1,5,3,23,24.7,-3
43,2/1/2019,30-081,OKC,MIA,W ,16,1,31:55:00,6,10,0.6,0,1,0,2,5,0.4,1,11,12,14,1,1,4,0,14,19.7,11
44,2/3/2019,30-083,OKC,BOS,L ,-5,1,37:06:00,8,19,0.421,1,3,0.333,5,8,0.625,2,10,12,16,2,0,4,4,22,22.7,-5
45,2/5/2019,30-085,OKC,ORL,W ,10,1,35:47:00,5,14,0.357,0,2,0,6,10,0.6,1,14,15,16,1,1,7,3,16,16.2,9
46,2/7/2019,30-087,OKC,MEM,W ,22,1,33:14:00,5,16,0.313,1,4,0.25,4,6,0.667,1,12,13,15,4,0,1,3,15,21.6,18
47,2/9/2019,30-089,OKC,HOU,W ,5,1,38:24:00,8,21,0.381,1,5,0.2,4,5,0.8,0,12,12,11,2,1,10,3,21,11.9,2
48,2/11/2019,30-091,OKC,POR,W ,9,1,36:53:00,5,19,0.263,1,6,0.167,10,13,0.769,2,12,14,11,1,2,6,4,21,16,1
49,2/14/2019,30-094,OKC,NOP,L ,-9,1,39:02:00,18,30,0.6,4,12,0.333,4,4,1,3,11,14,11,1,2,5,3,44,39.5,-15
